ESTRELA D OESTESP;SP;Estrela d Oeste;Estrela d Oeste;SANTOSSP;SP;Santos;Santos;celulose;0;0
FERNANDOPOLISSP;SP;Fernandopolis;Fernandopolis;SANTOSSP;SP;Santos;Santos;celulose;1597,903;1
ITIRAPINASP;SP;Itirapina;Itirapina;SANTOSSP;SP;Santos;Santos;celulose;761,44;1
PAULINIASP;SP;Paulinia;Paulinia;SANTOSSP;SP;Santos;Santos;celulose;272,561;1
PEDERNEIRASSP;SP;Pederneiras;Pederneiras;SANTOSSP;SP;Santos;Santos;celulose;997,683;2
LARANJALSP;SP;Laranjal;Laranjal;SANTOSSP;SP;Santos;Santos;celulose;255;1
PRADOPOLISSP;SP;Pradopolis;Pradopolis;SANTOSSP;SP;Santos;Santos;celulose;1054,081;1
SANTA ADELIASP;SP;Santa Adelia;Santa Adelia;SANTOSSP;SP;Santos;Santos;celulose;1149,798;1
SAO JOSE DO RIO PRETOSP;SP;Sao Jose do Rio Preto;Sao Jose do Rio Preto;SANTOSSP;SP;Santos;Santos;celulose;1322,327;1
VOTUPORANGASP;SP;Votuporanga;Votuporanga;SANTOSSP;SP;Santos;Santos;celulose;756,157;1
SANTOSSP;SP;Santos;Santos;SANTOSSP;SP;Santos;Santos;celulose;0;1
MAIRINQUESP;SP;Mairinque;Mairinque;SANTOSSP;SP;Santos;Santos;celulose;148,662;1
BURITI DOS MONTESSP;SP;Buriti dos Montes;Buriti dos Montes;SANTOSSP;SP;Santos;Santos;celulose;211,297;1
JAUSP;SP;Jau;Jau;SANTOSSP;SP;Santos;Santos;celulose;991,978;1
BARRINHASP;SP;Saboeiro;Barrinha;SANTOSSP;SP;Santos;Santos;celulose;536,911;1
SOROCABASP;SP;Sorocaba;Sorocaba;SANTOSSP;SP;Santos;Santos;celulose;172,985;1
ANHEMBISP;SP;Anhembi;Anhembi;SANTOSSP;SP;Santos;Santos;celulose;324,621;1
CASCAVELPR;PR;Cascavel;Cascavel;SANTOSSP;SP;Santos;Santos;celulose;0;0
JACAREZINHOPR;PR;Jacarezinho;Jacarezinho;SANTOSSP;SP;Santos;Santos;celulose;565;0
JATAIZINHOPR;PR;Jataizinho;Jataizinho;SANTOSSP;SP;Santos;Santos;celulose;0;0
JUSSARAPR;PR;Jussara;Jussara;SANTOSSP;SP;Santos;Santos;celulose;0;0
LONDRINAPR;PR;Londrina;Londrina;SANTOSSP;SP;Santos;Santos;celulose;0;0
MARACAJUMS;MS;Maracaju;Maracaju;SANTOSSP;SP;Santos;Santos;celulose;0;0
MARINGAPR;PR;Maringa;Maringa;SANTOSSP;SP;Santos;Santos;celulose;0;0
OURINHOSSP;SP;Ourinhos;Ourinhos;SANTOSSP;SP;Santos;Santos;celulose;1111,011;1
PARANAGUAPR;PR;Paranagua;Paranagua;SANTOSSP;SP;Santos;Santos;celulose;0;0
PONTA GROSSAPR;PR;Ponta Grossa;Ponta Grossa;SANTOSSP;SP;Santos;Santos;celulose;0;0
PRESIDENTE EPITACIOSP;SP;Presidente Epitacio;Presidente Epitacio;SANTOSSP;SP;Santos;Santos;celulose;917,045;1
ROLANDIAPR;PR;Rolandia;Rolandia;SANTOSSP;SP;Santos;Santos;celulose;0;0
TEREZA CRISTINAPR;PR;Candido de Abreu;Tereza Cristina;SANTOSSP;SP;Santos;Santos;celulose;0;0
PRESIDENTE PRUDENTESP;SP;Presidente Prudente;Presidente Prudente;SANTOSSP;SP;Santos;Santos;celulose;813,047;1
IPAUSSUSP;SP;Ipaussu;Ipaussu;SANTOSSP;SP;Santos;Santos;celulose;501,22;1
CANITARSP;SP;Canitar;Canitar;SANTOSSP;SP;Santos;Santos;celulose;518,464;1
BURISP;SP;Buri;Buri;SANTOSSP;SP;Santos;Santos;celulose;367,215;1
APIAISP;SP;Apiai;Apiai;SANTOSSP;SP;Santos;Santos;celulose;495,138;1
LAGESSC;SC;Maranguape;Lages;SANTOSSP;SP;Santos;Santos;celulose;0;0
CAMBEPR;PR;Cambe;Cambe;SANTOSSP;SP;Santos;Santos;celulose;0;0
IPAUCUSP;SP;Ipaussu;Ipaussu;SANTOSSP;SP;Santos;Santos;celulose;0;0
VENTANIAPR;PR;Ventania;Ventania;SANTOSSP;SP;Santos;Santos;celulose;0;0
GUARAPUAVAPR;PR;Guarapuava;Guarapuava;SANTOSSP;SP;Santos;Santos;celulose;0;0
HARMONIAPR;PR;Harmonia;Harmonia;SANTOSSP;SP;Santos;Santos;celulose;0;0
CAPIVARI DE BAIXOSC;SC;Capivari de Baixo;Capivari de Baixo;SANTOSSP;SP;Santos;Santos;celulose;0;0
CRICIUMASC;SC;Criciuma;Criciuma;SANTOSSP;SP;Santos;Santos;celulose;0;0
ANAPOLISGO;GO;Iacri;Anapolis;SANTOSSP;SP;Santos;Santos;celulose;1500;0
ARAGUARIMG;MG;Araguari;Araguari;SANTOSSP;SP;Santos;Santos;celulose;930;0
