AMAMBAIPK183MS;MS;Amambai;CONCHASSP;SP;Conchas;Conchas;1.191
ANHEMBISP;SP;Anhembi;CONCHASSP;SP;Conchas;Conchas;39
ARACATUBASP;SP;Aracatuba;CONCHASSP;SP;Conchas;Conchas;460
ARAGUARIMG;MG;Araguari;CONCHASSP;SP;Conchas;Conchas;1.244
BARCARENAPA;PA;Barcarena;CONCHASSP;SP;Conchas;Conchas;0
BARRA BONITASP;SP;Barra Bonita;CONCHASSP;SP;Conchas;Conchas;111
BOISPK175GO;GO;Inaciolandia;CONCHASSP;SP;Conchas;Conchas;1.124
BORBOREMASP;SP;Borborema;CONCHASSP;SP;Conchas;Conchas;285
BURITAMASP;SP;Buritama;CONCHASSP;SP;Conchas;Conchas;416
CASTELANDIAGO;GO;Castelandia;CONCHASSP;SP;Conchas;Conchas;1.023
EUCLIDES DA CUNHA PAULISTASP;SP;Euclides da Cunha Paulista;CONCHASSP;SP;Conchas;Conchas;958
GUAIRAPR;PR;Guaira;CONCHASSP;SP;Conchas;Conchas;1.099
IBITINGASP;SP;Ibitinga;CONCHASSP;SP;Conchas;Conchas;235
INOCENCIAMS;MS;Inocencia;CONCHASSP;SP;Conchas;Conchas;710
ITAITUBAPA;PA;Itaituba;CONCHASSP;SP;Conchas;Conchas;0
ITUMBIARAGO;GO;Itumbiara;CONCHASSP;SP;Conchas;Conchas;1.022
ITURAMAMG;MG;Iturama;CONCHASSP;SP;Conchas;Conchas;103
IVINHEMAMS;MS;Ivinhema;CONCHASSP;SP;Conchas;Conchas;1.056
JUSSARAPR;PR;Jussara;CONCHASSP;SP;Conchas;Conchas;1.215
JUTIMS;MS;Juti;CONCHASSP;SP;Conchas;Conchas;1.114
MARACAJUMS;MS;Maracaju;CONCHASSP;SP;Conchas;Conchas;1.333
NAVIRAIMS;MS;Navirai;CONCHASSP;SP;Conchas;Conchas;1.017
PANORAMASP;SP;Panorama;CONCHASSP;SP;Conchas;Conchas;685
PARDOPK214MS;MS;Santa Rita do Pardo;CONCHASSP;SP;Conchas;Conchas;949
PEREIRA BARRETOSP;SP;Pereira Barreto;CONCHASSP;SP;Conchas;Conchas;520
PEDERNEIRASSP;SP;Pederneiras;CONCHASSP;SP;Conchas;Conchas;144
PORTO RICOPR;PR;Porto Rico;CONCHASSP;SP;Conchas;Conchas;920
PORTO VELHORO;RO;Porto Velho;CONCHASSP;SP;Conchas;Conchas;0
PRESIDENTE EPITACIOSP;SP;Presidente Epitacio;CONCHASSP;SP;Conchas;Conchas;755
RIO BRILHANTEMS;MS;Rio Brilhante;CONCHASSP;SP;Conchas;Conchas;1.233
ROSANASP;SP;Rosana;CONCHASSP;SP;Conchas;Conchas;890
SABINOSP;SP;Sabino;CONCHASSP;SP;Conchas;Conchas;418
SANTA HELENAPR;PR;Santa Helena;CONCHASSP;SP;Conchas;Conchas;1.212
SAO SIMAOGO;GO;Sao Simao;CONCHASSP;SP;Conchas;Conchas;799
SUCURIUPK170MS;MS;Alto Sucuriu;CONCHASSP;SP;Conchas;Conchas;773
TEODORO SAMPAIOSP;SP;Teodoro Sampaio;CONCHASSP;SP;Conchas;Conchas;1.013
TRES LAGOASMS;MS;Tres Lagoas;CONCHASSP;SP;Conchas;Conchas;603
UBARANASP;SP;Ubarana;CONCHASSP;SP;Conchas;Conchas;445
APARECIDA DO TABOADOMS;MS;Aparecida do Taboado;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
AGUA CLARAMS;MS;Agua Clara;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
AMAMBAIPK183MS;MS;Amambai;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
ANHEMBISP;SP;Anhembi;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
ARACATUBASP;SP;Aracatuba;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
ARAGUARIMG;MG;Araguari;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
BARCARENAPA;PA;Barcarena;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
BARRA BONITASP;SP;Barra Bonita;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
BOISPK175GO;GO;Inaciolandia;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
BORBOREMASP;SP;Borborema;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
BURITAMASP;SP;Buritama;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
CASTELANDIAGO;GO;Castelandia;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
EUCLIDES DA CUNHA PAULISTASP;SP;Euclides da Cunha Paulista;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
