UF_id;UF;Nome_UF;Nome_Microrregiao;Codigo Municipio Completo;Nome_Municipio;Codigo de Distrito Completo;Nome_Distrito;;;;
11;RO;Rondonia;Alvorada D Oeste;1101500;Seringueiras;110150005;Seringueiras;;;;
11;RO;Rondonia;Ji Parana;1101559;Teixeiropolis;110155905;Teixeiropolis;;;;
11;RO;Rondonia;Ji Parana;1101609;Theobroma;110160905;Theobroma;;;;
11;RO;Rondonia;Ji Parana;1101708;Urupa;110170805;Urupa;;;;
11;RO;Rondonia;Ariquemes;1101757;Vale do Anari;110175705;Vale do Anari;;;;
11;RO;Rondonia;Ji Parana;1101807;Vale do Paraiso;110180705;Vale do Paraiso;;;;
11;RO;Rondonia;Vilhena;1100304;Vilhena;110030405;Vilhena;;;;
12;AC;Acre;Rio Branco;1200013;Acrelandia;120001305;Acrelandia;;;;
12;AC;Acre;Brasileia;1200054;Assis Brasil;120005405;Assis Brasil;;;;
12;AC;Acre;Brasileia;1200104;Brasileia;120010405;Brasileia;;;;
12;AC;Acre;Rio Branco;1200138;Bujari;120013805;Bujari;;;;
12;AC;Acre;Rio Branco;1200179;Capixaba;120017905;Capixaba;;;;
12;AC;Acre;Cruzeiro do Sul;1200203;Cruzeiro do Sul;120020305;Cruzeiro do Sul;;;;
12;AC;Acre;Brasileia;1200252;Epitaciolandia;120025205;Epitaciolandia;;;;
12;AC;Acre;Tarauaca;1200302;Feijo;120030205;Feijo;;;;
12;AC;Acre;Tarauaca;1200328;Jordao;120032805;Jordao;;;;
12;AC;Acre;Cruzeiro do Sul;1200336;Mancio Lima;120033605;Mancio Lima;;;;
12;AC;Acre;Sena Madureira;1200344;Manoel Urbano;120034405;Manoel Urbano;;;;
12;AC;Acre;Cruzeiro do Sul;1200351;Marechal Thaumaturgo;120035105;Marechal Thaumaturgo;;;;
12;AC;Acre;Rio Branco;1200385;Placido de Castro;120038505;Placido de Castro;;;;
12;AC;Acre;Rio Branco;1200385;Placido de Castro;120038510;Campinas;;;;
12;AC;Acre;Rio Branco;1200807;Porto Acre;120080705;Porto Acre;;;;
12;AC;Acre;Rio Branco;1200807;Porto Acre;120080720;Vila do Caqueta;;;;
12;AC;Acre;Rio Branco;1200807;Porto Acre;120080723;Vila do Incra;;;;
12;AC;Acre;Rio Branco;1200807;Porto Acre;120080725;Vila do V;;;;
12;AC;Acre;Cruzeiro do Sul;1200393;Porto Walter;120039305;Porto Walter;;;;
12;AC;Acre;Rio Branco;1200401;Rio Branco;120040105;Rio Branco;;;;
12;AC;Acre;Cruzeiro do Sul;1200427;Rodrigues Alves;120042705;Rodrigues Alves;;;;
12;AC;Acre;Sena Madureira;1200435;Santa Rosa do Purus;120043505;Santa Rosa do Purus;;;;
12;AC;Acre;Sena Madureira;1200500;Sena Madureira;120050005;Sena Madureira;;;;
12;AC;Acre;Rio Branco;1200450;Senador Guiomard;120045005;Senador Guiomard;;;;
12;AC;Acre;Tarauaca;1200609;Tarauaca;120060905;Tarauaca;;;;
12;AC;Acre;Brasileia;1200708;Xapuri;120070805;Xapuri;;;;
13;AM;Amazonas;Tefe;1300029;Alvaraes;130002905;Alvaraes;;;;
13;AM;Amazonas;Alto Solimoes;1300060;Amatura;130006005;Amatura;;;;
13;AM;Amazonas;Coari;1300086;Anama;130008605;Anama;;;;
13;AM;Amazonas;Coari;1300102;Anori;130010205;Anori;;;;
13;AM;Amazonas;Madeira;1300144;Apui;130014405;Apui;;;;
13;AM;Amazonas;Madeira;1300144;Apui;130014410;Sucunduri;;;;
